group_key,count,total_power_kw,avg_power_kw,min_power_kw,max_power_kw,min_ref_file,min_ref_index,max_ref_file,max_ref_index
Tübingen,23984,271535.563,11.321529,0.001,8656.05,EinheitenSolar_44.json,91287,EinheitenSolar_42.json,24770
Schaumburg,19296,270658.912,14.026685,0.001,2675.4,EinheitenSolar_40.json,71185,EinheitenSolar_12.json,31797
Stormarn,18404,268471.073,14.587648,0.001,6123.645,EinheitenSolar_42.json,74244,EinheitenSolar_51.json,26416
Birkenfeld,7122,267632.501,37.578279,0.001,7500.0,EinheitenSolar_44.json,43943,EinheitenBiomasse.json,11475
Werra-Meißner-Kreis,11768,267585.653,22.738414,0.001,7799.22,EinheitenSolar_42.json,42669,EinheitenSolar_51.json,66192
Miltenberg,15952,266654.167,16.716034,0.001,16644.0,EinheitenSolar_41.json,86526,EinheitenSolar_44.json,7967
Lüchow-Dannenberg,6668,263539.689,39.523049,0.001,6800.0,EinheitenSolar_50.json,39301,EinheitenWind.json,29457
Bielefeld,17890,263058.102,14.704198,0.001,39470.0,EinheitenSolar_41.json,43141,EinheitenBiomasse.json,16657
Germersheim,15240,261485.748,17.157857,0.001,5600.0,EinheitenSolar_45.json,47133,EinheitenWind.json,14334
Helmstedt,10215,261208.222,25.571045,0.001,16174.78,EinheitenSolar_51.json,93323,EinheitenSolar_36.json,14691
Vogtlandkreis,15132,260563.654,17.21938,0.001,4200.0,EinheitenSolar_40.json,69474,EinheitenWind.json,18786
Dortmund,22313,255574.826,11.454077,0.002,8300.0,EinheitenSolar_44.json,9631,EinheitenStromSpeicher_19.json,90407
Emden,3281,248169.218,75.638286,0.001,20000.0,EinheitenSolar_45.json,64604,EinheitenBiomasse.json,16211
Lichtenfels,8727,243662.532,27.920538,0.001,9992.96,EinheitenSolar_49.json,64444,EinheitenSolar_22.json,5582
Kronach,7701,242089.049,31.436054,0.001,32791.77,EinheitenStromSpeicher_16.json,89286,EinheitenSolar_50.json,75046
Nordhausen,5536,240152.124,43.38008,0.001,8000.0,EinheitenSolar_44.json,38460,EinheitenBiomasse.json,9075
Düsseldorf,13665,237317.841,17.366838,0.001,55000.0,EinheitenSolar_42.json,25110,EinheitenBiomasse.json,16842
Olpe,15046,233522.562,15.520574,0.001,5500.0,EinheitenSolar_45.json,38162,EinheitenWind.json,29036
Ebersberg,17561,232416.119,13.234788,0.001,4260.0,EinheitenSolar_53.json,60972,EinheitenWind.json,29642
Rhein-Pfalz-Kreis,20048,229140.066,11.429572,0.001,3044.44,EinheitenSolar_38.json,16362,EinheitenSolar_41.json,75059
Plön,13411,223573.423,16.670899,0.001,17213.25,EinheitenSolar_35.json,55844,EinheitenSolar_25.json,28099
Pinneberg,21348,223417.548,10.465503,0.001,3600.0,EinheitenSolar_35.json,14577,EinheitenWind.json,1818
Neunkirchen,10945,222171.996,20.298949,0.001,9834.84,EinheitenSolar_46.json,40448,EinheitenSolar_26.json,23654
Goslar,10590,221994.701,20.962672,0.001,11135.68,EinheitenSolar_41.json,92935,EinheitenSolar_37.json,58782
Südliche Weinstraße,16093,221729.906,13.778034,0.001,6403.0,EinheitenSolar_40.json,91613,EinheitenSolar_4.json,37332
Salzgitter,5983,221691.124,37.053506,0.001,5700.0,EinheitenSolar_44.json,42993,EinheitenWind.json,28128
Neuwied,18821,221393.681,11.76312,0.001,8002.0,EinheitenSolar_42.json,71744,EinheitenStromSpeicher_20.json,80655
